Mutation Chance,10.0
Steady State Percent,0.1
Generation,Minimum Fitness,Maximum Fitness,Mean Fitness
1,-0.8,2.1,0.41400000000000003
2,-0.5,1.3,0.4700000000000002
3,-0.4,2.4,0.4520000000000002
4,-0.1,2.1,0.47600000000000015
5,-0.8,2.0,0.46200000000000024
6,-1.1,1.3,0.37200000000000005
7,-0.1,2.0,0.5820000000000002
8,-0.1,1.8,0.5400000000000004
9,0.0,2.0,0.5680000000000002
10,-0.5,1.8,0.4920000000000001
11,0.0,1.9,0.732
12,-0.5,2.0,0.768
13,-0.4,1.8,0.66
14,0.1,1.8,0.6060000000000001
15,-0.5,1.6,0.5720000000000001
16,-1.4,1.8,0.5900000000000001
17,0.1,1.8,0.6360000000000001
18,-1.0,1.5,0.5880000000000002
19,-0.5,1.4,0.5820000000000002
