Mutation Chance,10.0
Steady State Percent,0.1
Generation,Minimum Fitness,Maximum Fitness,Mean Fitness
1,-1.0,1.9,0.45000000000000007
2,-0.4,2.1,0.6199999999999999
3,-0.2,1.6,0.5766666666666668
4,-0.4,0.9,0.34
5,-1.0,1.8,0.7100000000000003
6,-0.2,0.6,0.2066666666666666
7,0.0,1.5,0.6466666666666668
8,-0.4,2.5,1.0033333333333336
9,1.1,2.1,1.3233333333333335
10,0.2,0.6,0.36666666666666664
11,-0.1,0.2,-0.013333333333333329
12,0.0,0.1,0.06333333333333335
13,0.2,0.5,0.2833333333333333
14,0.5,0.6,0.5966666666666666
15,-0.1,0.0,-0.013333333333333334
16,-0.3,1.3,-0.13666666666666671
17,0.4,0.4,0.4000000000000002
18,-0.2,0.3,0.09333333333333337
19,2.2,2.2,2.200000000000001
20,0.0,0.2,0.053333333333333344
21,-0.1,0.0,-0.0033333333333333335
22,0.5,1.0,0.5766666666666665
23,-0.3,0.2,-0.25333333333333324
24,1.0,1.3,1.1766666666666665
25,0.1,0.3,0.19000000000000006
26,1.5,1.8,1.6366666666666665
27,0.3,0.3,0.3
28,-0.1,0.4,-0.029999999999999992
29,0.0,0.3,0.24333333333333323
30,-0.1,0.1,-0.0866666666666667
31,0.5,0.5,0.5
32,0.1,0.6,0.15
33,-0.1,0.6,0.16666666666666669
34,-1000.0,1.4,-32.476666666666695
