Mutation Chance,5.0
Steady State Percent,0.15
Generation,Minimum Fitness,Maximum Fitness,Mean Fitness
1,0.0,1.1,0.5099999999999999
2,-0.2,1.1,0.39
3,-0.6,1.0,0.6700000000000002
4,0.2,0.6,0.5599999999999999
5,-0.1,1.2,0.5700000000000001
6,-0.2,-0.1,-0.18999999999999997
7,-0.2,-0.1,-0.19
8,-0.3,0.2,-0.12999999999999998
9,-0.2,0.1,-0.12000000000000002
10,-0.2,0.1,-0.12
11,-0.2,0.1,-0.15999999999999998
12,0.2,1.0,0.5700000000000001
13,0.1,0.6,0.25000000000000006
14,0.1,0.1,0.09999999999999999
15,0.1,0.6,0.20000000000000004
16,0.1,0.6,0.20000000000000004
17,0.1,0.6,0.15000000000000002
18,0.1,0.6,0.15
19,0.3,0.4,0.32999999999999996
20,0.3,0.4,0.31999999999999995
