Mutation Chance,10.0
Steady State Percent,0.15
Generation,Minimum Fitness,Maximum Fitness,Mean Fitness
1,-1.3,1.4,0.31499999999999995
2,-0.8,1.8,0.355
3,-0.3,1.9,0.30000000000000004
4,-0.4,1.6,0.43
5,-0.6,1.2,0.14999999999999997
6,-0.5,2.1,0.55
7,-0.9,0.4,0.004999999999999944
8,-0.5,1.3,0.325
9,-1.0,0.5,0.11000000000000001
10,0.1,1.3,0.43
11,-0.4,1.3,0.24999999999999983
12,-0.4,0.4,0.019999999999999997
13,-0.4,0.8,-0.0049999999999999906
14,-0.4,1.4,0.19500000000000003
15,-0.3,0.9,0.465
16,-0.2,2.0,0.2749999999999999
17,-0.3,1.1,0.15000000000000002
18,-1.2,1.2,0.1
19,-0.6,0.2,-0.215
20,-0.2,0.3,0.07
21,0.2,1.2,0.3900000000000001
22,-0.1,1.3,0.07499999999999993
23,-0.5,0.0,-0.39
24,-0.4,0.4,0.125
25,0.1,1.1,0.975
